,Junc 10,Junc 11,Junc 12,Junc 13,Junc 21,Junc 22,Junc 23,Junc 31,Junc 32
450,119.45,110.06,112.1,109.9,86.22,102.94,105.26,85.96,83.65
451,120.56,111.33,111.2,102.35,100.58,98.08,81.83,97.29,90.69
452,123.42,114.57,114.87,113.69,103.55,109.02,111.23,38.46,56.75
453,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
454,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
455,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
456,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
457,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
458,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
459,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
460,123.91,115.13,112.89,114.21,112.85,114.17,116.12,110.47,105.31
461,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
462,112.54,112.42,116.95,118.12,115.24,117.5,119.6,113.7,108.97
463,124.41,115.7,115.5,112.83,106.31,103.64,106.21,103.57,96.88
464,121.48,112.37,113.71,112.23,94.71,106.91,109.14,94.14,90.67
465,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
466,123.75,114.95,115.15,114.09,104.58,109.71,111.91,44.22,60.39
467,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
468,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
469,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
470,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
471,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
472,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
473,119.76,110.41,115.14,116.29,113.35,115.63,117.74,111.81,107.09
474,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
475,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
476,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
477,122.12,113.09,112.7,106.07,104.25,102.7,91.03,101.2,95.01
478,123.14,114.26,112.83,86.86,109.47,109.79,107.42,106.86,101.38
